rental_serial_number,fk_rental_id,fk_rental_equipment_uid,equipment_type,equipment_type_serial_number,activation_date,manufacturer,model,size,pricing_status,deactivation_date,deactivation_initials,at_offsite,notes,ski_binding_type,wide,ski_boot_type,snowboard_boot_type,snowboard_binding_color
SK0089,394,292,SK,89,2022-12-12,Armada,QST 106,112,Upgrade,,,FALSE,,Senior,,,,
SK0090,,,SK,90,2022-12-12,Fischer,Kenja Jr,112,Upgrade,,,FALSE,,Senior,,,,
SK0091,,,SK,91,2022-12-12,Head,Backland 100,112,Standard,,,FALSE,,Junior,,,,
SK0092,357,279,SK,92,2022-12-12,Line Skis,Mindbender 106 C,124,Standard,,,FALSE,,Junior,,,,
SK0093,,,SK,93,2022-12-12,Atomic,Challenger Jr,124,Standard,,,FALSE,,Junior,,,,
SK0094,,,SK,94,2022-12-12,Volkl,Comp J,124,Standard,,,FALSE,,Senior,,,,
SK0095,452,217,SK,95,2022-12-12,Black Diamond,Ranger One FR,124,Standard,,,FALSE,,Junior,,,,
SK0096,,,SK,96,2022-12-12,Blizzard,Stance Jr,88,Standard,,,FALSE,,Junior,,,,
SK0097,,,SK,97,2022-12-12,Nordica,Core Jr,124,Standard,,,FALSE,,Junior,,,,
SK0098,110,110,SK,98,2022-12-12,Atomic,Navigator Jr,124,Standard,,,FALSE,,Senior,,,,
SK0099,19,221,SK,99,2022-12-12,Rossignol,Haven Jr,140,Standard,,,FALSE,,Junior,,,,
SK0100,469,204,SK,100,2022-12-12,Fischer,Mantra M5,136,Standard,,,FALSE,,Junior,,,,
SK0101,23,67,SK,101,2022-12-12,Head,Orb,170,Standard,,,FALSE,,Senior,,,,
SK0102,237,198,SK,102,2022-12-12,Salomon,Wingman 86 CTI,130,Standard,,,FALSE,,Junior,,,,
SK0103,,,SK,103,2022-12-12,Dynastar,Hero Jr,130,Upgrade,,,FALSE,,Senior,,,,
SK0104,613,281,SK,104,2022-12-12,Black Diamond,Ranger One FR,130,Standard,,,FALSE,,Junior,,,,
SK0105,,,SK,105,2022-12-12,Line Skis,Brahma 88,110,Standard,,,FALSE,,Senior,,,,
SK0106,225,183,SK,106,2022-12-12,K2,Gypsy Jr,140,Standard,,,FALSE,,Junior,,,,
SK0107,697,93,SK,107,2022-12-12,Elan,Challenger Jr,160,Upgrade,,,FALSE,,Junior,,,,
SK0108,,,SK,108,2022-12-12,Stockli,Bent Chetler 100,110,Upgrade,,,FALSE,,Senior,,,,
SK0109,10,205,SK,109,2022-12-12,Armada,Experience 88 Ti,90,Standard,,,FALSE,,Senior,,,,
SK0110,745,209,SK,110,2022-12-12,Fischer,Brahma Jr,163,Standard,,,FALSE,,Junior,,,,
SK0111,,,SK,111,2022-12-12,Line Skis,Blade,120,Upgrade,,,FALSE,,Senior,,,,
SK0112,230,218,SK,112,2022-12-12,Atomic,Orb,140,Upgrade,,,FALSE,,Junior,,,,
SK0113,529,176,SK,113,2022-12-12,Volkl,Blackops Pro Jr,150,Standard,,,FALSE,,Senior,,,,
SK0114,775,98,SK,114,2022-12-12,Black Diamond,Brahma 88,140,Upgrade,,,FALSE,,Senior,,,,
SK0115,128,115,SK,115,2022-12-12,Head,Soul 7 HD,140,Upgrade,,,FALSE,,Senior,,,,
SK0116,8,267,SK,116,2022-12-12,Salomon,Cochise Jr,130,Standard,,,FALSE,,Senior,,,,
SK0117,61,89,SK,117,2022-12-12,Dynastar,Yumi Jr,136,Upgrade,,,FALSE,,Junior,,,,
SK0118,,,SK,118,2022-12-12,Rossignol,Enforcer Free Jr,136,Standard,,,FALSE,,Senior,,,,
SK0119,,,SK,119,2022-12-12,Nordica,Shiro,170,Upgrade,,,FALSE,,Junior,,,,
SK0120,85,260,SK,120,2022-12-12,Blizzard,Kore 93,110,Standard,,,FALSE,,Senior,,,,
SK0121,,,SK,121,2022-12-12,K2,Stance 96,100,Standard,,,FALSE,,Junior,,,,
SK0122,368,296,SK,122,2022-12-12,Elan,Kendo,150,Standard,,,FALSE,,Senior,,,,
SK0123,,,SK,123,2022-12-12,Stockli,Super Joy Jr,153,Standard,,,FALSE,,Senior,,,,
SK0124,,,SK,124,2022-12-12,Armada,Enforcer Free Jr,80,Standard,,,FALSE,,Junior,,,,
SK0125,49,229,SK,125,2022-12-12,Fischer,Kore 93,100,Standard,,,FALSE,,Junior,,,,
SK0126,448,216,SK,126,2022-12-12,Head,Soul 7 HD,150,Standard,,,FALSE,,Junior,,,,
SK0127,301,251,SK,127,2022-12-12,Line Skis,ARV 106,174,Upgrade,,,FALSE,,Junior,,,,
SK0128,770,11,SK,128,2022-12-12,Atomic,Mantra M5,76,Upgrade,,,FALSE,,Junior,,,,
SK0129,731,206,SK,129,2022-12-12,Volkl,Firebird WRC Jr,112,Standard,,,FALSE,,Junior,,,,
SK0130,,,SK,130,2022-12-12,Black Diamond,Wild Joy,76,Standard,,,FALSE,,Senior,,,,
SK0131,,,SK,131,2022-12-12,Rossignol,Firebird Jr,150,Upgrade,,,FALSE,,Senior,,,,
SK0132,647,20,SK,132,2022-12-12,Salomon,Mantra Jr,149,Standard,,,FALSE,,Senior,,,,
SK0133,,,SK,133,2022-12-12,Dynastar,Kore 99,100,Standard,,,FALSE,,Junior,,,,
SK0134,478,109,SK,134,2022-12-12,Nordica,Wild Joy,150,Standard,,,FALSE,,Junior,,,,
SK0135,201,267,SK,135,2022-12-12,Blizzard,Kenja 88,176,Standard,,,FALSE,,Junior,,,,
SK0136,85,180,SK,136,2022-12-12,K2,V-Shape V8,130,Standard,,,FALSE,,Junior,,,,
SK0137,627,214,SK,137,2022-12-12,Elan,React R8 Jr,146,Standard,,,FALSE,,Junior,,,,
SK0138,,,SK,138,2022-12-12,Stockli,Comp J,124,Upgrade,,,FALSE,,Junior,,,,
SK0139,,,SK,139,2022-12-12,Armada,Shiro,124,Standard,,,FALSE,,Junior,,,,
SK0140,735,13,SK,140,2022-12-12,Fischer,Wild Joy,161,Standard,,,FALSE,,Junior,,,,
SK0141,,,SK,141,2022-12-12,Head,Speedmachine Jr,124,Standard,,,FALSE,,Junior,,,,
SK0142,,,SK,142,2022-12-12,Line Skis,Gypsy Jr,124,Standard,,,FALSE,,Junior,,,,
SK0143,310,189,SK,143,2022-12-12,Atomic,Bandit Jr,150,Standard,,,FALSE,,Junior,,,,
SK0144,29,158,SK,144,2022-12-12,Volkl,Ranger 102 FR,112,Standard,,,FALSE,,Senior,,,,
SK0145,49,65,SK,145,2022-12-12,Black Diamond,Prodigy Jr,124,Standard,,,FALSE,,Senior,,,,
SK0146,705,109,SK,146,2022-12-12,Rossignol,Devastator Jr,154,Upgrade,,,FALSE,,Junior,,,,
SK0147,336,224,SK,147,2022-12-12,Salomon,Hot Rod Jr,163,Standard,,,FALSE,,Junior,,,,
SK0148,,,SK,148,2022-12-12,Dynastar,Sir Francis Bacon,160,Standard,,,FALSE,,Senior,,,,
SK0149,,,SK,149,2022-12-12,Nordica,Stance Jr,156,Standard,,,FALSE,,Senior,,,,
SK0150,,,SK,150,2022-12-12,Blizzard,Sir Francis Bacon,150,Standard,,,FALSE,,Junior,,,,
SK0151,,,SK,151,2022-12-12,K2,ARV 116 JJ,150,Standard,,,FALSE,,Junior,,,,
SK0152,645,189,SK,152,2022-12-12,Elan,Junior Supershape,163,Upgrade,,,FALSE,,Senior,,,,
SK0153,,,SK,153,2022-12-12,Stockli,Kenja 88,160,Standard,,,FALSE,,Senior,,,,
SK0154,698,198,SK,154,2022-12-12,Armada,Mindbender 106 C,100,Standard,,,FALSE,,Senior,,,,
SK0155,723,26,SK,155,2022-12-12,Fischer,Soul 7 HD Jr,124,Standard,,,FALSE,,Junior,,,,
SK0156,,,SK,156,2022-12-12,Head,Navigator Jr,170,Standard,,,FALSE,,Senior,,,,
SK0157,,,SK,157,2022-12-12,Line Skis,Ripstick Jr,160,Standard,,,FALSE,,Junior,,,,
SK0158,439,85,SK,158,2022-12-12,Atomic,V-Shape V8,146,Standard,,,FALSE,,Junior,,,,
SK0159,200,60,SK,159,2022-12-12,Volkl,Firebird Jr,88,Upgrade,,,FALSE,,Senior,,,,
SK0160,640,90,SK,160,2022-12-12,Black Diamond,Ranger 102 FR,150,Standard,,,FALSE,,Senior,,,,
SK0161,58,44,SK,161,2022-12-12,Rossignol,Soul 7 HD Jr,136,Standard,,,FALSE,,Senior,,,,
SK0162,,,SK,162,2022-12-12,Salomon,Blackops Sender Ti,150,Standard,,,FALSE,,Junior,,,,
SK0163,375,151,SK,163,2022-12-12,Dynastar,Ripstick Jr,100,Standard,,,FALSE,,Senior,,,,
SK0164,447,137,SK,164,2022-12-12,Nordica,S Max Blast Jr,154,Standard,,,FALSE,,Senior,,,,
SK0165,,,SK,165,2022-12-12,Blizzard,Wingman 86 CTI,100,Standard,,,FALSE,,Junior,,,,
SK0166,730,175,SK,166,2022-12-12,K2,Kendo,149,Upgrade,,,FALSE,,Junior,,,,
SK0167,264,97,SK,167,2022-12-12,Elan,Bandit Jr,154,Standard,,,FALSE,,Senior,,,,
SK0168,133,188,SK,168,2022-12-12,Stockli,Firebird Jr,161,Standard,,,FALSE,,Senior,,,,
SK0169,,,SK,169,2022-12-12,Armada,ARV 106,124,Standard,,,FALSE,,Senior,,,,
SK0170,,,SK,170,2022-12-12,Fischer,Cochise Jr,124,Upgrade,,,FALSE,,Senior,,,,
SK0171,,,SK,171,2022-12-12,Head,FX Jr,90,Standard,,,FALSE,,Senior,,,,
SK0172,,,SK,172,2022-12-12,Line Skis,Blade,156,Upgrade,,,FALSE,,Senior,,,,
SK0173,,,SK,173,2022-12-12,Atomic,QST Lumen Jr,124,Upgrade,,,FALSE,,Senior,,,,
SK0174,13,33,SK,174,2022-12-12,Volkl,Hot Rod Jr,100,Standard,,,FALSE,,Junior,,,,
SK0175,,,SK,175,2022-12-12,Black Diamond,Blackops Pro Jr,100,Upgrade,,,FALSE,,Junior,,,,
SK0176,785,136,SK,176,2022-12-12,Rossignol,Kore 93,100,Upgrade,,,FALSE,,Junior,,,,
SK0177,347,212,SK,177,2022-12-12,Salomon,Explore Jr,112,Standard,,,FALSE,,Senior,,,,
SK0178,45,46,SK,178,2022-12-12,Dynastar,Junior Supershape,165,Standard,,,FALSE,,Junior,,,,
SK0179,456,189,SK,179,2022-12-12,Nordica,Super Joy Jr,160,Standard,,,FALSE,,Junior,,,,
SK0180,69,60,SK,180,2022-12-12,Blizzard,Junior Supershape,142,Standard,,,FALSE,,Junior,,,,
SK0181,99,241,SK,181,2022-12-12,K2,Kore 93,165,Standard,,,FALSE,,Junior,,,,
SK0182,490,76,SK,182,2022-12-12,Elan,Experience 88 Ti,149,Standard,,,FALSE,,Junior,,,,
SK0183,,,SK,183,2022-12-12,Stockli,React R8 Jr,100,Standard,,,FALSE,,Junior,,,,
SK0184,281,102,SK,184,2022-12-12,Armada,QST Lumen Jr,124,Standard,,,FALSE,,Senior,,,,
SK0185,,,SK,185,2022-12-12,Fischer,Firebird WRC Jr,150,Standard,,,FALSE,,Junior,,,,
SK0186,,,SK,186,2022-12-12,Head,Maverick 85,156,Standard,,,FALSE,,Junior,,,,
SK0187,14,46,SK,187,2022-12-12,Line Skis,Alltrack Jr,178,Standard,,,FALSE,,Junior,,,,
SK0188,333,273,SK,188,2022-12-12,Atomic,ARV 116 JJ,170,Standard,,,FALSE,,Junior,,,,
SK0189,485,115,SK,189,2022-12-12,Volkl,Brahma Jr,130,Standard,,,FALSE,,Senior,,,,
SK0190,600,23,SK,190,2022-12-12,Black Diamond,QST Lumen Jr,156,Standard,,,FALSE,,Senior,,,,
SK0191,,,SK,191,2022-12-12,Blizzard,Firebird Jr,100,Standard,,,FALSE,,Junior,,,,
SK0192,510,232,SK,192,2022-12-12,Nordica,Mantra M5,112,Upgrade,,,FALSE,,Senior,,,,
SK0193,474,211,SK,193,2022-12-12,Atomic,V-Shape V8,100,Standard,,,FALSE,,Junior,,,,
SK0194,,,SK,194,2022-12-12,Rossignol,V-Shape V8,124,Standard,,,FALSE,,Senior,,,,
SK0195,41,259,SK,195,2022-12-12,Fischer,Mindbender 106 C,124,Standard,,,FALSE,,Junior,,,,
SK0196,629,68,SK,196,2022-12-12,Head,Prince Jr,136,Upgrade,,,FALSE,,Junior,,,,
SK0197,,,SK,197,2022-12-12,Salomon,Kendo,150,Standard,,,FALSE,,Senior,,,,
SK0198,496,187,SK,198,2022-12-12,Dynastar,Gypsy Jr,177,Standard,,,FALSE,,Junior,,,,
SK0199,15,267,SK,199,2022-12-12,Black Diamond,QST 106,163,Standard,,,FALSE,,Junior,,,,
SK0200,,,SK,200,2022-12-12,Line Skis,Blackops Sender Ti,140,Standard,,,FALSE,,Junior,,,,
SK0201,522,258,SK,201,2022-12-12,K2,Firebird WRC Jr,136,Standard,,,FALSE,,Senior,,,,
SK0202,,,SK,202,2022-12-12,Elan,Laser AX,88,Standard,,,FALSE,,Junior,,,,
SK0203,,,SK,203,2022-12-12,Stockli,Enforcer 110,136,Standard,,,FALSE,,Senior,,,,
SK0204,634,258,SK,204,2022-12-12,Armada,Nemesis Jr,170,Standard,,,FALSE,,Junior,,,,
SK0205,,,SK,205,2022-12-12,Fischer,Sir Francis Bacon,140,Standard,,,FALSE,,Senior,,,,
SK0206,12,256,SK,206,2022-12-12,Line Skis,Challenger Jr,161,Standard,,,FALSE,,Senior,,,,
SK0207,,,SK,207,2022-12-12,Atomic,Firebird WRC Jr,163,Standard,,,FALSE,,Senior,,,,
SK0208,,,SK,208,2022-12-12,Volkl,Stance Jr,146,Standard,,,FALSE,,Senior,,,,
SK0209,,,SK,209,2022-12-12,Black Diamond,Dobermann Jr,170,Standard,,,FALSE,,Junior,,,,
SK0210,49,12,SK,210,2022-12-12,Head,Blackops Pro Jr,140,Standard,,,FALSE,,Senior,,,,
SK0211,,,SK,211,2022-12-12,Salomon,Soul 7 HD,100,Upgrade,,,FALSE,,Senior,,,,
SK0212,211,274,SK,212,2022-12-12,Dynastar,Experience 94 Ti W,162,Upgrade,,,FALSE,,Junior,,,,
SK0213,75,265,SK,213,2022-12-12,Rossignol,Armada Jr,150,Standard,,,FALSE,,Senior,,,,
SK0214,242,153,SK,214,2022-12-12,Nordica,Wingman 86 CTI,163,Standard,,,FALSE,,Senior,,,,
SK0215,,,SK,215,2022-12-12,Blizzard,Mantra Jr,146,Standard,,,FALSE,,Senior,,,,
SK0216,86,185,SK,216,2022-12-12,K2,Bandit Jr,146,Standard,,,FALSE,,Senior,,,,
SK0217,688,227,SK,217,2022-12-12,Elan,Deacon Jr,146,Upgrade,,,FALSE,,Senior,,,,
SK0218,,,SK,218,2022-12-12,Stockli,Konic Jr,175,Standard,,,FALSE,,Junior,,,,
SK0219,775,165,SK,219,2022-12-12,Armada,Wingman 86 CTI,136,Standard,,,FALSE,,Senior,,,,
SK0220,,,SK,220,2022-12-12,Fischer,Brahma Jr,163,Standard,,,FALSE,,Senior,,,,
SK0221,12,90,SK,221,2022-12-12,Head,Brahma 88,163,Standard,,,FALSE,,Senior,,,,
SK0222,663,189,SK,222,2022-12-12,Line Skis,Genesis Jr,130,Upgrade,,,FALSE,,Senior,,,,
SK0223,457,5,SK,223,2022-12-12,Atomic,Hero Jr,100,Standard,,,FALSE,,Senior,,,,
SK0224,,,SK,224,2022-12-12,Volkl,Backland 100,154,Upgrade,,,FALSE,,Junior,,,,
SK0225,,,SK,225,2022-12-12,Black Diamond,Route 105,162,Standard,,,FALSE,,Junior,,,,
SK0226,66,287,SK,226,2022-12-12,Rossignol,Explore Jr,146,Upgrade,,,FALSE,,Senior,,,,
SK0227,,,SK,227,2022-12-12,Salomon,Speedmachine Jr,130,Standard,,,FALSE,,Junior,,,,
SK0228,,,SK,228,2022-12-12,Dynastar,Enforcer 94,130,Standard,,,FALSE,,Senior,,,,
SK0229,302,172,SK,229,2022-12-12,Nordica,Cochise Jr,124,Standard,,,FALSE,,Junior,,,,
SK0230,342,154,SK,230,2022-12-12,Blizzard,Hero Jr,140,Upgrade,,,FALSE,,Junior,,,,
SK0231,625,157,SK,231,2022-12-12,K2,ARV 116 JJ,124,Upgrade,,,FALSE,,Senior,,,,
SK0232,601,235,SK,232,2022-12-12,Elan,Park Jr,88,Standard,,,FALSE,,Junior,,,,
SK0233,,,SK,233,2022-12-12,Stockli,M-Pro 99,67,Standard,,,FALSE,,Junior,,,,
SK0234,4,115,SK,234,2022-12-12,Armada,Backland 100,130,Upgrade,,,FALSE,,Senior,,,,
SK0235,,,SK,235,2022-12-12,Fischer,S/Pro Jr,149,Upgrade,,,FALSE,,Junior,,,,
SK0236,274,249,SK,236,2022-12-12,Head,QST Lumen 99,154,Standard,,,FALSE,,Junior,,,,
SK0237,,,SK,237,2022-12-12,Line Skis,Stance 96,154,Upgrade,,,FALSE,,Senior,,,,
SK0238,,,SK,238,2022-12-12,Atomic,Challenger Jr,136,Standard,,,FALSE,,Junior,,,,
SK0239,170,129,SK,239,2022-12-12,Volkl,ARV 106,147,Standard,,,FALSE,,Senior,,,,
SK0240,293,290,SK,240,2022-12-12,Black Diamond,Kendo,162,Upgrade,,,FALSE,,Senior,,,,
SK0241,472,8,SK,241,2022-12-12,Rossignol,Ripstick Jr,152,Standard,,,FALSE,,Senior,,,,
SK0242,757,273,SK,242,2022-12-12,Salomon,V-Shape V6 Jr,146,Standard,,,FALSE,,Junior,,,,
SK0243,489,133,SK,243,2022-12-12,Dynastar,Comp J,170,Standard,,,FALSE,,Junior,,,,
SK0244,30,206,SK,244,2022-12-12,Nordica,Challenger Jr,136,Standard,,,FALSE,,Senior,,,,
SK0245,,,SK,245,2022-12-12,Blizzard,Ripstick Jr,140,Standard,,,FALSE,,Junior,,,,
SK0246,,,SK,246,2022-12-12,K2,Ranger 94 FR,162,Upgrade,,,FALSE,,Junior,,,,
